X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
-88.5519,0.3762,-1028.5315,81,0.6079,3.7839,0.0,0.0,90.3005
-86.8659,0.8578,-1028.4636,91,-1.0474,6.7214,0.03150582313537598,0.0,85.5839
-85.2796,1.4667,-1028.3745,86,1.1769,12.3858,0.07801342010498047,0.0,80.8293
-83.6325,1.8871,-1028.2662,89,3.6509,17.6899,0.12402200698852539,0.0,76.0712
-81.99,2.2397,-1028.1637,89,4.6617,22.2859,0.15552663803100586,0.0,71.2863
-80.3474,2.5924,-1028.0613,89,6.1077,27.0337,0.18603253364562988,0.0,66.5342
-78.7476,3.2344,-1027.9615,87,8.7352,28.337,0.23254132270812988,0.0,65.2302
-77.1263,3.8341,-1027.8901,88,11.5866,28.6035,0.2790489196777344,0.0,63.9184
-75.4809,4.3853,-1027.8488,89,15.16,28.8409,0.3100545406341553,0.0,62.5999
-73.8103,4.8862,-1027.839,90,18.3035,29.059,0.35656285285949707,0.0,61.2759
-72.1133,5.3347,-1027.8624,92,22.4788,29.2606,0.40307092666625977,0.0,59.9481
-70.4026,5.7303,-1027.9124,93,24.0443,29.7101,0.43457746505737305,0.0,58.6182
-68.6851,6.0728,-1027.985,93,25.4137,30.2919,0.46508097648620605,0.0,57.2866
-66.9611,6.3621,-1028.0804,93,26.9818,30.8773,0.5110890865325928,0.0,55.9534
-65.2308,6.5985,-1028.1992,94,27.187,31.4545,0.542595624923706,0.0,54.6186
-63.4944,6.7817,-1028.3417,94,26.8196,32.0278,0.5886032581329346,0.0,53.2822
-61.752,6.9119,-1028.5081,95,26.2051,32.6014,0.6356120109558105,0.0,51.9441
-60.0037,6.9889,-1028.6989,95,25.417,33.1675,0.666616678237915,0.0,50.6043
-58.2498,7.013,-1028.9144,96,24.5382,33.7301,0.7126250267028809,0.0,49.2628
-56.4904,6.9839,-1029.1553,96,23.5284,34.2856,0.7446310520172119,0.0,47.9195
-54.7258,6.9022,-1029.4216,97,22.649,34.8418,0.7901387214660645,0.0,46.5745
-52.9562,6.7679,-1029.7141,97,22.1478,35.3873,0.8216438293457031,0.0,45.2278
-51.1818,6.5811,-1030.0331,98,24.206,35.9298,0.8681514263153076,0.0,43.8792
-49.403,6.3416,-1030.379,98,28.0107,36.4656,0.9141602516174316,0.0,42.5289
-47.6199,6.0496,-1030.7523,99,29.5176,36.9987,0.945164680480957,0.0,41.1767
-45.8331,5.705,-1031.1534,99,31.9201,37.5252,0.9886729717254639,0.0,39.8227
-44.0427,5.3078,-1031.5829,100,32.6084,38.0452,1.0151774883270264,0.0,38.4668
-42.2491,4.858,-1032.0411,100,32.6109,38.5589,1.0606865882873535,0.0,37.109
-40.4527,4.3556,-1032.5284,101,31.9274,39.0734,1.1101939678192139,0.0,35.7493
-38.6539,3.8006,-1033.0455,101,29.8353,39.5743,1.1427001953125,0.0,34.3876
-36.8531,3.1931,-1033.5925,102,24.2373,40.0795,1.189208984375,0.0,33.024
-35.0508,2.5329,-1034.1703,102,18.8698,40.5676,1.2332160472869873,0.0,31.6585
-33.2474,1.8202,-1034.7789,103,16.4222,41.0598,1.2657215595245361,0.0,30.2909
-31.4434,1.0549,-1035.4191,104,14.861,41.5419,1.2987267971038818,0.0,28.9213
